time,vehicle_id,speed,edge,x,y
247.0,85,0.0,B2B1,198.4,208.2010109470803
247.0,86,4.89075235830421,:C0_1,400.48891130805686,-0.2518144865718711
247.0,87,2.883109481954276,:A1_11,6.083384904712586,199.14441006352493
247.0,88,0.0,B0B1,201.6,191.79898848734948
247.0,89,0.000245327136582801,A1B1,151.76264253902602,198.4
247.0,90,0.0,B1B2,201.6,364.13481532215735
247.0,91,12.02798270052676,B1A1,108.86334372512978,201.6
247.0,92,0.0,C0C1,401.6,191.798989625217
247.0,93,0.00010788038521463338,B0B1,201.6,184.29797158793298
247.0,94,3.766119519305769,:B1_23,194.04473624210104,199.2894724842021
247.0,95,3.0513012967794007,:A2_1,2.645665457742731,398.3208093511061
247.0,96,0.0,A1B1,159.26368302288603,198.4
247.0,97,2.155632928538977,A1B1,143.76443270669103,198.4
247.0,98,13.56241528436898,B1A1,136.63556803896208,201.6
248.0,100,14.760698389153369,C2B2,295.38356835641054,401.6
248.0,101,0.0,C0B0,208.2010614894611,1.6
248.0,102,13.341218692032202,B0B1,201.6,154.59921590363288
248.0,103,0.0,C0C1,401.6,184.29789634026972
248.0,104,0.03083660864802028,C0C1,401.6,176.79589178168118
248.0,105,0.0,B2B1,198.4,223.2030868413129
248.0,107,0.0,C2B2,208.20104530950232,401.6
248.0,108,14.519949355392091,C1C0,398.4,25.228832126311175
248.0,109,12.457851123969496,A2B2,149.1374376554166,398.4
248.0,110,12.307580582735568,C1B1,288.7524339355127,201.6
248.0,111,10.770868517787406,C1C0,398.4,131.6834643286494
248.0,112,0.0,A0B0,191.79896248385134,-1.6
248.0,113,0.0,B1B2,201.6,356.63372714241336
248.0,114,11.55967838014573,A2B2,37.880608609944424,398.4
248.0,115,0.08445740920433883,A0B0,184.25447568930952,-1.6
248.0,116,7.622705196789309,A2A1,-1.6,384.8785086661722
248.0,117,12.32206854813001,A2A1,-1.6,220.57917376162325
248.0,118,13.071374927429392,C1C2,401.6,356.21106960112223
248.0,119,13.598078050442993,B2A2,59.30716658083887,401.6
248.0,120,12.295700166785569,B1A1,150.3492746378767,201.6
248.0,121,12.786282410689804,B1B2,201.6,258.4475998049285
248.0,122,6.99403476170322,A1B1,28.28045428821525,198.4
248.0,45,0.0,:B2_5,200.85611111111112,393.91583333333335
248.0,55,13.464999538444506,A1A2,1.6,295.83891512233754
248.0,56,2.9234242282446874,A1B1,185.85043879661296,198.4
248.0,57,15.017333480010507,C1C0,398.4,51.54934918999649
248.0,58,0.0,B2B1,198.4,215.70203876859554
248.0,60,0.03791444055106653,B1B2,201.6,341.6087219840608
248.0,61,1.4319193454220354,B1B2,201.6,334.0079540121007
248.0,64,11.829524449439289,C1B1,337.7977421337466,201.6
248.0,69,13.778670151095332,B1A1,59.323239550206665,201.6
248.0,75,0.000290980241579294,B1B2,201.6,349.13268069136916
248.0,76,6.967201959621162,B1B2,201.6,215.07952729085503
248.0,77,0.0,B1B2,201.6,371.6358930388676
248.0,78,0.0,B1B2,201.6,386.63799867636993
248.0,80,0.0,B1B2,201.6,379.13693198784915
248.0,81,0.7712999380161192,A1B1,175.03709344773975,198.4
248.0,82,13.30767171219232,A1A0,-1.6,142.15328244435267
248.0,83,0.0,A1B1,166.7647714603042,198.4
248.0,85,0.0,B2B1,198.4,208.2010109470803
248.0,86,4.9260530759001755,C0C1,401.6,4.4288385435619615
248.0,87,2.8638353666013847,A1B1,8.722277488537106,198.4
248.0,88,0.0,B0B1,201.6,191.79898848734948
248.0,89,0.0,A1B1,151.76264253902602,198.4
