time,vehicle_id,road,speed
63,22,A0B0,0.0
63,23,:A0_0,4.77
63,24,B2B1,10.88
63,25,B0B1,12.01
63,26,A2B2,11.73
63,27,B2B1,12.99
63,28,A1B1,15.18
63,29,A1A2,12.2
63,3,A2A1,14.22
63,30,C2C1,14.05
63,31,B1C1,15.16
63,4,:B1_12,5.88
63,5,B1B2,10.56
63,8,B1B2,9.63
63,9,B1B0,11.72
64,0,A0A1,4.13
64,10,B1B2,6.7
64,11,A1A2,13.24
64,12,B2B1,0.0
64,14,B0B1,7.23
64,15,B1C1,11.98
64,16,B2C2,11.36
64,17,C0C1,12.97
64,18,B1B2,11.9
64,19,C0B0,15.58
64,2,B2C2,11.46
64,20,C2C1,13.74
64,21,A2A1,0.0
64,22,A0B0,0.0
64,23,A0B0,4.25
64,24,B2B1,6.98
64,25,B0B1,11.12
64,26,A2B2,11.71
64,27,B2B1,12.87
64,28,A1B1,15.45
64,29,A1A2,12.38
64,3,A2A1,13.86
64,30,C2C1,13.86
64,31,B1C1,15.84
64,32,C1C0,13.89
64,4,B1B0,6.1
64,5,B1B2,11.49
64,8,B1B2,11.57
64,9,B1B0,9.57
65,0,A0A1,6.41
65,10,:B2_3,7.03
65,11,A1A2,13.4
65,12,B2B1,0.0
65,14,B0B1,8.8
65,15,B1C1,12.63
65,16,B2C2,11.29
65,17,C0C1,12.12
65,18,B1B2,11.95
65,19,C0B0,15.59
65,2,B2C2,11.48
65,20,C2C1,13.04
65,21,A2A1,0.0
65,22,A0B0,0.0
65,23,A0B0,6.17
65,24,B2B1,2.65
65,25,B0B1,9.64
65,26,A2B2,11.64
65,27,B2B1,11.89
65,28,A1B1,15.65
65,29,A1A2,11.84
65,3,A2A1,11.21
65,30,C2C1,13.72
65,31,B1C1,15.06
65,32,C1C0,13.95
65,4,B1B0,7.67
65,5,B1B2,10.39
65,8,B1B2,12.72
65,9,B1B0,5.52
66,0,A0A1,8.73
66,10,B2C2,7.01
66,11,A1A2,13.99
66,12,B2B1,0.0
66,14,B0B1,10.66
66,15,B1C1,11.74
66,16,B2C2,11.27
66,17,C0C1,10.97
66,18,B1B2,12.33
66,19,C0B0,11.85
66,2,B2C2,12.52
66,20,C2C1,12.89
66,21,A2A1,0.0
66,22,A0B0,0.0
66,23,A0B0,7.87
66,24,B2B1,0.51
66,25,B0B1,5.38
66,26,A2B2,12.73
66,27,B2B1,12.01
66,28,A1B1,14.61
66,29,A1A2,12.92
66,3,A2A1,6.94
66,30,C2C1,12.42
